   1814, 196,   1,   1
    1824, 200,  47,   2
    1834, 203,  80,   3
    1844, 201,  53,   4
    1854, 200,  46,   5
    1864, 201,  56,   6
    1874, 200,  51,   7
    1884, 200,  48,   8
    1894, 200,  50,   9
    1904, 200,  49,  10
    1914, 200,  48,  11
    1924, 200,  47,  12
    1934, 200,  46,  13
    1944, 200,  45,  14
    1954, 200,  44,  15
    1964, 200,  42,  16
    1974, 200,  41,  17
    1984, 199,  40,  18
    1994, 199,  39,  19
    2004, 199,  39,  20
    2014, 199,  37,  21
    2024, 199,  36,  22
    2034, 199,  35,  23
    2044, 199,  35,  24
    2054, 199,  34,  25
    2064, 199,  33,  26
    2074, 199,  32,  27
    2084, 199,  32,  28
    2094, 199,  32,  29
    2104, 199,  31,  30
    2114, 199,  30,  31
    2124, 199,  30,  32
    2134, 198,  29,  33
    2144, 198,  28,  34
    2154, 198,  27,  35
    2165, 198,  26,  36
    2175, 198,  25,  37
    2185, 198,  25,  38
    2195, 198,  25,  39
    2205, 198,  24,  40
    2215, 198,  23,  41
    2225, 198,  23,  42
    2235, 198,  22,  43
    2245, 198,  22,  44
    2255, 198,  20,  45
    2265, 197,   8,  46
    2275, 196,   1,  47
    2285, 196,   6,  48
    2295, 196,   5,  49
    2305, 196,   5,  50
    2315, 196,   5,  51
    2325, 196,   4,  52
    2335, 196,   4,  53
    2345, 202,  63,  54
    2355, 196,   4,  55
    2365, 196,   3,  56
    2375, 196,   4,  57
    2385, 196,   4,  58
    2395, 196,   3,  59
    2405, 196,   3,  60
    2415, 196,   1,  61
    2425, 196,   3,  62
    2435, 196,   2,  63
    2445, 196,   2,  64
    2455, 196,   2,  65
    2465, 196,   2,  66
    2475, 196,   1,  67
    2485, 196,   0,  68
    2495, 196,   1,  69
    2505, 196,   1,  70
    2516, 196,   1,  71
    2526, 196,   1,  72
    2536, 196,   0,  73
    2546, 196, 359,  74
    2556, 194, 345,  75
    2566, 194, 340,  76
    2576, 195, 346,  77
    2586, 194, 343,  78
    2596, 194, 342,  79
    2606, 194, 342,  80
    2616, 194, 342,  81
    2626, 194, 341,  82
    2636, 194, 341,  83
    2646, 194, 340,  84
    2656, 194, 339,  85
    2666, 194, 339,  86
    2676, 194, 338,  87
    2686, 194, 337,  88
    2696, 194, 337,  89
    2706, 194, 337,  90
    2716, 194, 336,  91
    2726, 194, 336,  92
    2736, 194, 335,  93
    2746, 194, 335,  94
    2756, 193, 334,  95
    2766, 193, 333,  96
    2776, 193, 333,  97
    2786, 193, 332,  98
    2796, 193, 332,  99
    2806, 193, 330, 100
    2816, 193, 328, 101
    2826, 193, 328, 102
    2836, 193, 327, 103
    2846, 193, 327, 104
    2857, 193, 324, 105
    2867, 192, 323, 106
    2877, 192, 322, 107
    2887, 192, 321, 108
    2897, 192, 320, 109
    2907, 192, 319, 110
    2917, 192, 317, 111
    2927, 192, 317, 112
    2937, 192, 317, 113
    2947, 192, 314, 114
    2957, 192, 314, 115
    2967, 192, 314, 116
    2977, 191, 312, 117
    2987, 191, 311, 118
    2997, 191, 310, 119
