 3096049,   355,  5999,   305,   327,    89
 3106049,   350,  5976,   299,   376,   100
 3116049,   345,  5951,   293,   326,    88
 3126049,   340,  5936,   290,   302,    83
 3136049,   335,  5920,   286,   292,    80
 3146049,   330,  5901,   281,   276,    76
 3156049,   325,  5877,   275,   261,    73
 3166048,   320,  5841,   267,   253,    71
 3176050,   315,  5820,   262,   241,    68
 3186048,   310,  5800,   257,   218,    62
 3196047,   305,  5784,   253,   197,    57
 3206049,   300,  5763,   248,   175,    52
 3216047,   295,  5731,   240,   153,    46
 3226049,   290,  5698,   232,   131,    41
 3236047,   285,  5676,   227,   108,    36
 3246049,   280,  5658,   222,    88,    31
 3256048,   275,  5639,   218,    64,    25
 3266049,   270,  5618,   213,    39,    19
 3276049,   265,  5589,   206,    26,    16
 3286049,   260,  5573,   202,    15,    13
 3296048,   255,  5559,   199, 16380,    10
 3306048,   250,  5546,   195, 16351,     3
 3316048,   245,  5523,   190, 16328,   357
 3326048,   240,  5500,   184, 16309,   353
 3336048,   235,  5476,   178, 16280,   346
 3346050,   230,  5458,   174, 16254,   339
 3356049,   225,  5445,   171, 16225,   332
 3366049,   220,  5428,   167, 16200,   326
 3376049,   215,  5410,   162, 16177,   321
 3386049,   210,  5390,   158, 16155,   315
 3396048,   205,  5368,   152, 16142,   312
 3406050,   200,  5345,   147, 16134,   310
 3416048,   195,  5325,   142, 16115,   306
 3426050,   190,  5309,   138, 16092,   300
 3436048,   185,  5296,   135, 16066,   294
 3446049,   180,  5278,   131, 16042,   288
 3456050,   175,  5255,   125, 16021,   283
 3466048,   170,  5231,   119, 16004,   279
 3476050,   165,  5201,   112, 15989,   275
 3486048,   160,  5179,   107, 15968,   270
 3496049,   155,  5161,   102, 15949,   266
 3506050,   150,  5142,    98, 15932,   261
 3516047,   145,  5116,    91, 15920,   259
 3526050,   140,  5085,    84, 15911,   256
 3536049,   135,  5067,    80, 15892,   252
 3546049,   130,  5050,    75, 15866,   245
 3556049,   125,  5033,    71, 15848,   241
 3566049,   120,  5012,    66, 15827,   236
 3576048,   115,  4976,    58, 15804,   230
 3586048,   110,  4942,    49, 15781,   225
 3596050,   105,  4913,    42, 15755,   219
 3606050,   100,  4893,    37, 15734,   214
 3616050,    95,  4877,    34, 15703,   206
 3626049,    90,  4852,    28, 15680,   201
 3636049,    85,  4827,    22, 15672,   199
 3646047,    80,  4813,    18, 15665,   197
 3656049,    75,  4799,    15, 15647,   193
 3666048,    70,  4791,    13, 15621,   186
 3676049,    65,  4769,     8, 15597,   180
 3686047,    60,  4750,     3, 15571,   174
 3696048,    55,  4729,   358, 15543,   167
 3706049,    50,  4703,   352, 15523,   163
 3716047,    45,  4682,   346, 15501,   157
 3726049,    40,  4660,   341, 15476,   151
 3736050,    35,  4643,   337, 15453,   146
 3746048,    30,  4624,   332, 15426,   139
 3756050,    25,  4602,   327, 15406,   134
