loop_count, encoder_angle_motor, encoder_angle_motor, angle, motor0.target_PWN[0], motor0.target_PWN[1], motor0.target_PWN[2]
00000, 5.406, 2.937, 6.267, 1.000, 0.257, 0.243
00001, 5.499, 3.958, 6.252, 1.000, 0.264, 0.237
00002, 5.678, 5.925, 6.236, 0.999, 0.271, 0.230
00003, 5.655, 5.680, 6.220, 0.999, 0.278, 0.223
00004, 5.586, 4.916, 6.205, 0.998, 0.285, 0.217
00005, 5.616, 5.245, 6.189, 0.998, 0.292, 0.210
00006, 5.630, 5.397, 6.173, 0.997, 0.299, 0.204
00007, 5.610, 5.178, 6.158, 0.996, 0.306, 0.198
00008, 5.610, 5.182, 6.142, 0.995, 0.314, 0.191
00009, 3.578, 1.675, 6.126, 0.994, 0.321, 0.185
00010, 5.609, 5.165, 6.110, 0.993, 0.328, 0.179
00011, 5.610, 5.178, 6.095, 0.991, 0.336, 0.173
00012, 5.608, 5.157, 6.079, 0.990, 0.343, 0.167
00013, 5.606, 5.131, 6.063, 0.988, 0.350, 0.162
00014, 5.605, 5.127, 6.048, 0.986, 0.358, 0.156
00015, 5.602, 5.097, 6.032, 0.984, 0.366, 0.150
00016, 5.602, 5.097, 6.016, 0.982, 0.373, 0.145
00017, 5.601, 5.076, 6.000, 0.980, 0.381, 0.139
00018, 5.597, 5.043, 5.985, 0.978, 0.388, 0.134
00019, 5.597, 5.038, 5.969, 0.976, 0.396, 0.128
00020, 5.597, 5.038, 5.953, 0.973, 0.404, 0.123
00021, 5.592, 4.984, 5.938, 0.970, 0.411, 0.118
00022, 5.590, 4.962, 5.922, 0.968, 0.419, 0.113
00023, 5.590, 4.958, 5.906, 0.965, 0.427, 0.108
00024, 5.588, 4.933, 5.890, 0.962, 0.435, 0.103
00025, 5.587, 4.929, 5.875, 0.959, 0.443, 0.099
00026, 5.586, 4.920, 5.859, 0.956, 0.450, 0.094
00027, 5.585, 4.908, 5.843, 0.952, 0.458, 0.089
00028, 5.584, 4.891, 5.828, 0.949, 0.466, 0.085
00029, 5.582, 4.874, 5.812, 0.946, 0.474, 0.081
00030, 5.582, 4.870, 5.796, 0.942, 0.482, 0.076
00031, 5.581, 4.865, 5.781, 0.938, 0.490, 0.072
00032, 5.581, 4.857, 5.765, 0.934, 0.497, 0.068
00033, 5.580, 4.848, 5.749, 0.930, 0.505, 0.064
00034, 5.578, 4.832, 5.733, 0.926, 0.513, 0.061
00035, 5.577, 4.819, 5.718, 0.922, 0.521, 0.057
00036, 5.576, 4.806, 5.702, 0.918, 0.529, 0.053
00037, 5.576, 4.802, 5.686, 0.914, 0.537, 0.050
00038, 5.574, 4.789, 5.671, 0.909, 0.544, 0.046
00039, 5.574, 4.785, 5.655, 0.905, 0.552, 0.043
00040, 5.572, 4.760, 5.639, 0.900, 0.560, 0.040
00041, 5.570, 4.739, 5.623, 0.895, 0.568, 0.037
00042, 5.570, 4.743, 5.608, 0.890, 0.576, 0.034
00043, 5.569, 4.726, 5.592, 0.885, 0.583, 0.031
00044, 5.569, 4.730, 5.576, 0.880, 0.591, 0.029
00045, 5.567, 4.709, 5.561, 0.875, 0.599, 0.026
00046, 5.566, 4.692, 5.545, 0.870, 0.607, 0.024
00047, 5.564, 4.675, 5.529, 0.864, 0.614, 0.021
00048, 5.566, 4.692, 5.513, 0.859, 0.622, 0.019
00049, 5.563, 4.659, 5.498, 0.854, 0.629, 0.017
00050, 5.425, 3.139, 5.482, 0.848, 0.637, 0.015
00051, 5.526, 4.253, 5.466, 0.842, 0.645, 0.013
00052, 5.533, 4.338, 5.451, 0.837, 0.652, 0.011
