 4340047,    80,  7533,   316, 10217,   320
 4350048,    75,  7517,   312, 10188,   313
 4360047,    70,  7503,   309, 10164,   307
 4370049,    65,  7486,   304, 10138,   301
 4380050,    60,  7468,   300, 10105,   293
 4390048,    55,  7451,   296, 10065,   283
 4400050,    50,  7429,   291, 10033,   275
 4410049,    45,  7413,   287, 10011,   270
 4420050,    40,  7395,   282,  9996,   266
 4430049,    35,  7379,   279,  9979,   262
 4440050,    30,  7368,   276,  9955,   256
 4450048,    25,  7346,   271,  9936,   252
 4460048,    20,  7324,   265,  9923,   249
 4470049,    15,  7304,   260,  9906,   245
 4480048,    10,  7286,   256,  9890,   241
 4490049,     5,  7274,   253,  9872,   236
 4500049,     0,  7257,   249,  9853,   232
 4510048,   355,  7232,   243,  9834,   227
 4520048,   350,  7207,   237,  9819,   223
 4530048,   345,  7184,   231,  9802,   219
 4540049,   340,  7156,   225,  9779,   214
 4550049,   335,  7138,   220,  9766,   211
 4560048,   330,  7118,   215,  9751,   207
 4570049,   325,  7093,   209,  9734,   203
 4580047,   320,  7068,   203,  9716,   199
 4590049,   315,  7043,   197,  9699,   194
 4600050,   310,  7025,   193,  9685,   191
 4610048,   305,  7009,   189,  9668,   187
 4620048,   300,  6986,   184,  9653,   183
 4630048,   295,  6954,   176,  9636,   179
 4640047,   290,  6924,   169,  9611,   173
 4650048,   285,  6899,   162,  9585,   167
 4660047,   280,  6879,   158,  9562,   161
 4670048,   275,  6863,   154,  9546,   157
 4680050,   270,  6844,   149,  9529,   153
 4690047,   265,  6824,   144,  9507,   148
 4700050,   260,  6806,   140,  9475,   140
 4710050,   255,  6798,   138,  9441,   132
 4720050,   250,  6783,   134,  9410,   125
 4730050,   245,  6768,   131,  9383,   118
 4740049,   240,  6745,   125,  9354,   111
 4750049,   235,  6724,   120,  9326,   104
 4760049,   230,  6701,   115,  9301,    98
 4770048,   225,  6680,   110,  9282,    94
 4780048,   220,  6665,   106,  9257,    88
 4790048,   215,  6647,   102,  9238,    83
 4800048,   210,  6634,    98,  9217,    78
 4810048,   205,  6608,    92,  9206,    75
 4820050,   200,  6586,    87,  9197,    73
 4830048,   195,  6569,    83,  9181,    69
 4840050,   190,  6553,    79,  9166,    66
 4850048,   185,  6540,    76,  9150,    62
 4860049,   180,  6526,    72,  9131,    57
 4870050,   175,  6506,    67,  9110,    52
 4880049,   170,  6478,    61,  9093,    48
 4890050,   165,  6448,    53,  9078,    44
 4900048,   160,  6421,    47,  9063,    41
 4910047,   155,  6406,    43,  9045,    36
 4920048,   150,  6392,    40,  9029,    32
 4930049,   145,  6371,    35,  9009,    28
 4940048,   140,  6345,    29,  8994,    24
 4950048,   135,  6319,    22,  8975,    19
 4960048,   130,  6297,    17,  8957,    15
 4970048,   125,  6275,    12,  8945,    12
 4980047,   120,  6253,     6,  8927,     8
 4990050,   115,  6224,   359,  8906,     3
 5000050,   110,  6190,   351,  8886,   358
 5010049,   105,  6169,   346,  8860,   352
 5020049,   100,  6153,   342,  8833,   345
 5030048,    95,  6136,   338,  8815,   341
 5040048,    90,  6118,   334,  8795,   336
 5050047,    85,  6101,   330,  8764,   328
 5060048,    80,  6086,   326,  8734,   321
 5070047,    75,  6068,   322,  8706,   314
 5080049,    70,  6054,   318,  8680,   308
 5090047,    65,  6035,   314,  8658,   303
 5100048,    60,  6016,   309,  8633,   297
 5110050,    55,  5990,   303,  8601,   289
 5120048,    50,  5962,   296,  8571,   282
 5130050,    45,  5942,   291,  8556,   278
 5140049,    40,  5923,   287,  8541,   274
 5150049,    35,  5909,   283,  8522,   270
 5160047,    30,  5892,   279,  8507,   266
 5170049,    25,  5871,   274,  8495,   263
 5180049,    20,  5846,   268,  8477,   259
 5190049,    15,  5831,   264,  8466,   256
 5200049,    10,  5817,   261,  8449,   252
 5210049,     5,  5799,   257,  8433,   248
 5220049,     0,  5782,   252,  8415,   244
 5230049,   355,  5766,   249,  8396,   239
 5240048,   350,  5740,   242,  8375,   234
 5250048,   345,  5712,   236,  8363,   231
 5260048,   340,  5692,   231,  8345,   227
 5270048,   335,  5676,   227,  8327,   223
 5280048,   330,  5663,   224,  8308,   218
 5290048,   325,  5640,   218,  8292,   214
 5300049,   320,  5610,   211,  8273,   210
 5310048,   315,  5580,   204,  8253,   205
 5320050,   310,  5556,   198,  8241,   202
 5330049,   305,  5534,   192,  8225,   198
 5340048,   300,  5513,   187,  8206,   193
 5350049,   295,  5483,   180,  8185,   188
 5360048,   290,  5456,   174,  8161,   183
 5370048,   285,  5435,   169,  8133,   176
 5380047,   280,  5422,   165,  8105,   169
 5390048,   275,  5406,   162,  8080,   163
 5400050,   270,  5380,   155,  8055,   157
 5410050,   265,  5359,   150,  8034,   152
 5420050,   260,  5337,   145,  8005,   145
 5430050,   255,  5324,   142,  7985,   140
 5440050,   250,  5307,   138,  7962,   134
 5450050,   245,  5284,   132,  7942,   130
 5460049,   240,  5264,   127,  7904,   120
 5470049,   235,  5235,   120,  7878,   114
 5480049,   230,  5209,   114,  7858,   109
 5490048,   225,  5193,   110,  7845,   106
 5500048,   220,  5177,   106,  7827,   102
 5510048,   215,  5158,   102,  7802,    96
 5520048,   210,  5139,    97,  7784,    91
 5530048,   205,  5118,    92,  7772,    89
 5540050,   200,  5096,    87,  7762,    86
 5550048,   195,  5081,    83,  7745,    82
 5560050,   190,  5069,    80,  7733,    79
 5570047,   185,  5055,    77,  7718,    76
 5580049,   180,  5039,    73,  7699,    71
 5590049,   175,  5017,    67,  7679,    66
 5600047,   170,  4998,    63,  7657,    61
 5610048,   165,  4970,    56,  7638,    56
 5620050,   160,  4943,    50,  7621,    52
 5630048,   155,  4925,    45,  7606,    48
 5640049,   150,  4909,    41,  7592,    45
 5650049,   145,  4888,    36,  7569,    39
 5660048,   140,  4856,    29,  7549,    35
