loop_count, encoder_angle_motor, encoder_angle_motor, angle, motor0.target_PWN[0], motor0.target_PWN[1], motor0.target_PWN[2]
04180, 0.214, 2.355, 3.440, 0.022, 0.866, 0.612
04190, 0.189, 2.076, 3.283, 0.005, 0.809, 0.687
04200, 0.185, 2.034, 3.126, 0.000, 0.743, 0.757
04210, 0.180, 1.983, 2.969, 0.007, 0.672, 0.821
04220, 0.147, 1.620, 2.812, 0.027, 0.596, 0.877
04230, 0.137, 1.502, 2.655, 0.058, 0.518, 0.924
04240, 0.128, 1.405, 2.498, 0.100, 0.440, 0.960
04250, 0.111, 1.224, 2.340, 0.152, 0.363, 0.985
04260, 0.094, 1.034, 2.183, 0.213, 0.289, 0.998
04270, 0.076, 0.836, 2.026, 0.280, 0.221, 0.999
04280, 0.060, 0.662, 1.869, 0.353, 0.160, 0.987
04290, 0.042, 0.464, 1.712, 0.430, 0.107, 0.964
04300, 0.034, 0.371, 1.555, 0.508, 0.063, 0.929
04310, 0.027, 0.295, 1.398, 0.586, 0.030, 0.884
04320, 6.282, 0.004, 1.241, 0.662, 0.009, 0.829
04330, 6.274, 6.207, 1.084, 0.734, 0.000, 0.766
04340, 6.271, 6.173, 0.927, 0.800, 0.004, 0.696
04350, 6.250, 5.937, 0.770, 0.859, 0.019, 0.622
04360, 6.239, 5.823, 0.613, 0.909, 0.046, 0.544
04370, 6.230, 5.722, 0.456, 0.949, 0.085, 0.466
04380, 6.219, 5.595, 0.298, 0.978, 0.134, 0.388
04390, 6.203, 5.422, 0.141, 0.995, 0.191, 0.313
04400, 6.186, 5.232, 6.267, 1.000, 0.257, 0.243
04410, 6.170, 5.055, 6.110, 0.993, 0.328, 0.179
04420, 6.152, 4.857, 5.953, 0.973, 0.404, 0.123
04430, 6.138, 4.705, 5.796, 0.942, 0.482, 0.076
04440, 6.127, 4.591, 5.639, 0.900, 0.560, 0.040
04450, 6.118, 4.481, 5.482, 0.848, 0.637, 0.015
04460, 6.088, 4.161, 5.325, 0.787, 0.711, 0.002
04470, 6.084, 4.110, 5.168, 0.720, 0.779, 0.001
04480, 6.082, 4.093, 5.011, 0.647, 0.840, 0.013
04490, 6.047, 3.709, 4.854, 0.570, 0.893, 0.036
04500, 6.041, 3.637, 4.697, 0.492, 0.937, 0.071
04510, 6.033, 3.553, 4.540, 0.414, 0.970, 0.116
04520, 6.016, 3.363, 4.382, 0.338, 0.991, 0.171
04530, 6.004, 3.237, 4.225, 0.266, 1.000, 0.234
04540, 5.987, 3.047, 4.068, 0.200, 0.996, 0.304
04550, 5.974, 2.899, 3.911, 0.141, 0.981, 0.378
04560, 5.956, 2.709, 3.754, 0.091, 0.954, 0.456
04570, 5.948, 2.616, 3.597, 0.051, 0.915, 0.534
04580, 5.939, 2.515, 3.440, 0.022, 0.866, 0.612
04590, 5.537, 4.380, 3.283, 0.005, 0.809, 0.687
04600, 5.909, 2.182, 3.126, 0.000, 0.743, 0.757
04610, 5.904, 2.131, 2.969, 0.007, 0.672, 0.821
04620, 5.871, 1.772, 2.812, 0.027, 0.596, 0.877
04630, 5.863, 1.684, 2.655, 0.058, 0.518, 0.924
04640, 5.854, 1.578, 2.498, 0.100, 0.440, 0.960
04650, 5.839, 1.414, 2.340, 0.152, 0.363, 0.985
04660, 5.822, 1.232, 2.183, 0.213, 0.289, 0.998
04670, 5.801, 1.000, 2.026, 0.280, 0.221, 0.999
04680, 5.786, 0.831, 1.869, 0.353, 0.160, 0.987
04690, 5.770, 0.654, 1.712, 0.430, 0.107, 0.964
04700, 5.760, 0.553, 1.555, 0.508, 0.063, 0.929
04710, 5.753, 0.473, 1.398, 0.586, 0.030, 0.884
04720, 5.727, 0.186, 1.241, 0.662, 0.009, 0.829
04730, 5.721, 0.114, 1.084, 0.734, 0.000, 0.766
04740, 5.731, 0.232, 0.927, 0.800, 0.004, 0.696
04750, 5.693, 6.098, 0.770, 0.859, 0.019, 0.622
04760, 5.079, 5.625, 0.613, 0.909, 0.046, 0.544
04770, 5.672, 5.857, 0.456, 0.949, 0.085, 0.466
04780, 5.661, 5.739, 0.298, 0.978, 0.134, 0.388
04790, 5.647, 5.583, 0.141, 0.995, 0.191, 0.313
04800, 5.629, 5.384, 6.267, 1.000, 0.257, 0.243
04810, 5.611, 5.194, 6.110, 0.993, 0.328, 0.179
04820, 5.595, 5.013, 5.953, 0.973, 0.404, 0.123
04830, 5.582, 4.874, 5.796, 0.942, 0.482, 0.076
04840, 5.573, 4.768, 5.639, 0.900, 0.560, 0.040
04850, 5.561, 4.646, 5.482, 0.848, 0.637, 0.015
04860, 5.530, 4.304, 5.325, 0.787, 0.711, 0.002
04870, 5.527, 4.266, 5.168, 0.720, 0.779, 0.001
04880, 5.524, 4.237, 5.011, 0.647, 0.840, 0.013
04890, 5.493, 3.891, 4.854, 0.570, 0.893, 0.036
04900, 5.486, 3.815, 4.697, 0.492, 0.937, 0.071
04910, 5.477, 3.713, 4.540, 0.414, 0.970, 0.116
04920, 5.461, 3.540, 4.382, 0.338, 0.991, 0.171
04930, 5.446, 3.376, 4.225, 0.266, 1.000, 0.234
04940, 5.427, 3.165, 4.068, 0.200, 0.996, 0.304
04950, 5.412, 3.000, 3.911, 0.141, 0.981, 0.378
04960, 5.397, 2.831, 3.754, 0.091, 0.954, 0.456
04970, 5.388, 2.739, 3.597, 0.051, 0.915, 0.534
04980, 5.379, 2.642, 3.440, 0.022, 0.866, 0.612
04990, 5.352, 2.338, 3.283, 0.005, 0.809, 0.687
