loop_count, encoder_angle_motor, encoder_angle_motor, angle, motor0.target_PWN[0], motor0.target_PWN[1], motor0.target_PWN[2]
00950, 4.839, 2.975, 3.911, 0.141, 0.981, 0.378
00960, 4.821, 2.785, 3.754, 0.091, 0.954, 0.456
00970, 4.812, 2.680, 3.597, 0.051, 0.915, 0.534
00980, 4.803, 2.587, 3.440, 0.022, 0.866, 0.612
00990, 4.777, 2.300, 3.283, 0.005, 0.809, 0.686
01000, 4.775, 2.270, 3.126, 0.000, 0.743, 0.757
01010, 4.770, 2.220, 2.969, 0.007, 0.672, 0.821
01020, 4.736, 1.848, 2.812, 0.027, 0.596, 0.877
01030, 4.728, 1.760, 2.655, 0.058, 0.518, 0.924
01040, 4.717, 1.637, 2.498, 0.100, 0.440, 0.960
01050, 4.701, 1.464, 2.340, 0.152, 0.363, 0.985
01060, 4.684, 1.274, 2.183, 0.212, 0.289, 0.998
01070, 4.664, 1.055, 2.026, 0.280, 0.221, 0.999
01080, 4.647, 0.865, 1.869, 0.353, 0.160, 0.987
01090, 4.627, 0.650, 1.712, 0.430, 0.107, 0.964
01100, 4.618, 0.553, 1.555, 0.508, 0.063, 0.929
01110, 4.609, 0.452, 1.398, 0.586, 0.030, 0.884
01120, 4.579, 0.122, 1.241, 0.662, 0.009, 0.829
01130, 4.571, 0.034, 1.084, 0.734, 0.000, 0.766
01140, 4.567, 6.275, 0.927, 0.800, 0.004, 0.696
01150, 4.559, 6.178, 0.770, 0.859, 0.019, 0.622
01160, 4.533, 5.899, 0.613, 0.909, 0.046, 0.544
01170, 4.524, 5.802, 0.456, 0.949, 0.085, 0.466
01180, 4.511, 5.654, 0.298, 0.978, 0.134, 0.388
01190, 4.497, 5.498, 0.141, 0.995, 0.191, 0.314
01200, 4.480, 5.313, 6.267, 1.000, 0.257, 0.243
01210, 4.464, 5.140, 6.110, 0.993, 0.328, 0.179
01220, 4.447, 4.950, 5.953, 0.973, 0.404, 0.123
01230, 4.432, 4.789, 5.796, 0.942, 0.482, 0.076
01240, 4.423, 4.684, 5.639, 0.900, 0.560, 0.040
01250, 4.395, 4.380, 5.482, 0.848, 0.637, 0.015
01260, 4.379, 4.199, 5.325, 0.787, 0.711, 0.002
01270, 4.373, 4.140, 5.168, 0.720, 0.779, 0.001
01280, 4.371, 4.110, 5.011, 0.647, 0.840, 0.013
01290, 4.336, 3.726, 4.854, 0.570, 0.893, 0.036
01300, 4.327, 3.629, 4.697, 0.492, 0.937, 0.071
01310, 4.318, 3.532, 4.540, 0.414, 0.970, 0.116
01320, 4.301, 3.342, 4.383, 0.338, 0.991, 0.171
01330, 4.285, 3.165, 4.225, 0.266, 1.000, 0.234
01340, 4.269, 2.988, 4.068, 0.200, 0.996, 0.304
01350, 4.254, 2.827, 3.911, 0.141, 0.981, 0.378
01360, 4.238, 2.650, 3.754, 0.091, 0.954, 0.456
01370, 4.229, 2.549, 3.597, 0.051, 0.915, 0.534
01380, 4.222, 2.469, 3.440, 0.022, 0.866, 0.612
01390, 4.192, 2.139, 3.283, 0.005, 0.809, 0.686
01400, 4.189, 2.110, 3.126, 0.000, 0.743, 0.757
01410, 4.185, 2.072, 2.969, 0.007, 0.672, 0.821
01420, 4.154, 1.726, 2.812, 0.027, 0.596, 0.877
01430, 4.144, 1.620, 2.655, 0.058, 0.518, 0.924
01440, 4.134, 1.511, 2.498, 0.100, 0.440, 0.960
01450, 2.933, 0.861, 2.340, 0.152, 0.363, 0.985
01460, 4.096, 1.093, 2.183, 0.213, 0.289, 0.998
01470, 4.077, 0.873, 2.026, 0.280, 0.221, 0.999
01480, 4.060, 0.696, 1.869, 0.353, 0.160, 0.987
01490, 4.042, 0.498, 1.712, 0.430, 0.107, 0.964
01500, 4.033, 0.392, 1.555, 0.508, 0.063, 0.929
01510, 4.025, 0.304, 1.398, 0.586, 0.030, 0.884
01520, 3.996, 6.266, 1.241, 0.662, 0.009, 0.829
01530, 3.989, 6.190, 1.084, 0.734, 0.000, 0.766
01540, 3.985, 6.148, 0.927, 0.800, 0.004, 0.696
01550, 3.974, 6.026, 0.770, 0.859, 0.019, 0.622
01560, 3.950, 5.760, 0.613, 0.909, 0.046, 0.544
01570, 3.941, 5.667, 0.456, 0.949, 0.085, 0.466
01580, 3.929, 5.536, 0.298, 0.978, 0.134, 0.388
01590, 3.914, 5.368, 0.141, 0.995, 0.191, 0.314
01600, 3.899, 5.203, 6.267, 1.000, 0.257, 0.243
01610, 3.882, 5.017, 6.110, 0.993, 0.328, 0.179
01620, 3.865, 4.832, 5.953, 0.973, 0.404, 0.123
01630, 3.850, 4.663, 5.796, 0.942, 0.482, 0.076
01640, 3.840, 4.549, 5.639, 0.900, 0.560, 0.040
01650, 3.812, 4.249, 5.482, 0.848, 0.637, 0.015
01660, 3.795, 4.064, 5.325, 0.787, 0.711, 0.002
01670, 3.792, 4.021, 5.168, 0.720, 0.779, 0.001
01680, 3.789, 3.988, 5.011, 0.647, 0.840, 0.013
01690, 3.754, 3.608, 4.854, 0.570, 0.893, 0.036
01700, 3.747, 3.528, 4.697, 0.492, 0.937, 0.071
01710, 3.738, 3.426, 4.540, 0.414, 0.970, 0.116
01720, 3.723, 3.262, 4.383, 0.338, 0.991, 0.171
01730, 3.707, 3.093, 4.225, 0.266, 1.000, 0.234
01740, 3.690, 2.907, 4.068, 0.200, 0.996, 0.304
01750, 3.675, 2.739, 3.911, 0.141, 0.981, 0.378
01760, 3.659, 2.566, 3.754, 0.091, 0.954, 0.456
01770, 3.651, 2.477, 3.597, 0.051, 0.915, 0.534
01780, 3.643, 2.384, 3.440, 0.022, 0.866, 0.612
01790, 3.616, 2.089, 3.283, 0.005, 0.809, 0.686
01800, 3.614, 2.072, 3.126, 0.000, 0.743, 0.757
01810, 3.610, 2.021, 2.969, 0.007, 0.672, 0.821
01820, 3.576, 1.646, 2.812, 0.027, 0.596, 0.877
01830, 3.565, 1.532, 2.655, 0.058, 0.518, 0.924
01840, 3.555, 1.418, 2.498, 0.100, 0.440, 0.960
01850, 3.539, 1.236, 2.340, 0.152, 0.363, 0.985
01860, 3.520, 1.034, 2.183, 0.213, 0.289, 0.998
01870, 3.501, 0.819, 2.026, 0.280, 0.221, 0.999
01880, 3.485, 0.646, 1.869, 0.353, 0.160, 0.987
01890, 3.469, 0.468, 1.712, 0.430, 0.107, 0.964
01900, 3.459, 0.363, 1.555, 0.508, 0.063, 0.929
01910, 3.452, 0.287, 1.398, 0.586, 0.030, 0.884
01920, 3.424, 6.258, 1.241, 0.662, 0.009, 0.829
01930, 3.415, 6.165, 1.084, 0.734, 0.000, 0.766
01940, 3.412, 6.131, 0.927, 0.800, 0.004, 0.696
01950, 3.399, 5.984, 0.770, 0.859, 0.019, 0.622
01960, 3.380, 5.777, 0.613, 0.909, 0.046, 0.544
01970, 3.371, 5.680, 0.456, 0.949, 0.085, 0.466
01980, 3.359, 5.549, 0.298, 0.978, 0.134, 0.388
01990, 3.346, 5.401, 0.141, 0.995, 0.191, 0.314
02000, 3.328, 5.207, 6.267, 1.000, 0.257, 0.243
02010, 3.310, 5.009, 6.110, 0.993, 0.328, 0.179
02020, 3.293, 4.815, 5.953, 0.973, 0.404, 0.123
02030, 3.277, 4.642, 5.796, 0.942, 0.482, 0.076
02040, 3.268, 4.545, 5.639, 0.900, 0.560, 0.040
02050, 3.242, 4.262, 5.482, 0.848, 0.637, 0.015
02060, 3.226, 4.076, 5.325, 0.787, 0.711, 0.002
02070, 3.223, 4.043, 5.168, 0.720, 0.779, 0.001
02080, 3.221, 4.021, 5.011, 0.647, 0.840, 0.013
02090, 3.188, 3.663, 4.854, 0.570, 0.893, 0.036
02100, 3.180, 3.578, 4.697, 0.492, 0.937, 0.071
02110, 3.173, 3.494, 4.540, 0.414, 0.970, 0.116
02120, 3.156, 3.308, 4.383, 0.338, 0.991, 0.171
02130, 3.142, 3.152, 4.225, 0.266, 1.000, 0.234
02140, 3.125, 2.966, 4.068, 0.200, 0.996, 0.304
02150, 1.556, 4.557, 3.911, 0.141, 0.981, 0.378
02160, 3.096, 2.650, 3.754, 0.091, 0.954, 0.456
02170, 3.087, 2.549, 3.597, 0.051, 0.915, 0.534
02180, 3.078, 2.452, 3.440, 0.022, 0.866, 0.612
02190, 3.049, 2.131, 3.283, 0.005, 0.809, 0.686
02200, 3.047, 2.114, 3.126, 0.000, 0.743, 0.757
02210, 3.042, 2.059, 2.969, 0.007, 0.672, 0.821
02220, 3.010, 1.709, 2.812, 0.027, 0.596, 0.877
02230, 3.000, 1.599, 2.655, 0.058, 0.518, 0.924
02240, 2.990, 1.485, 2.498, 0.100, 0.440, 0.960
02250, 2.976, 1.325, 2.340, 0.152, 0.363, 0.985
02260, 2.958, 1.131, 2.183, 0.213, 0.289, 0.998
02270, 2.940, 0.933, 2.026, 0.280, 0.221, 0.999
02280, 2.924, 0.755, 1.869, 0.353, 0.160, 0.987
02290, 2.907, 0.565, 1.712, 0.430, 0.107, 0.964
02300, 2.897, 0.464, 1.555, 0.508, 0.063, 0.929
02310, 2.890, 0.388, 1.398, 0.586, 0.030, 0.884
02320, 2.862, 0.080, 1.241, 0.662, 0.009, 0.829
02330, 2.857, 0.025, 1.084, 0.734, 0.000, 0.766
02340, 2.854, 6.271, 0.927, 0.800, 0.004, 0.696
02350, 2.840, 6.114, 0.770, 0.859, 0.019, 0.622
02360, 2.819, 5.891, 0.613, 0.909, 0.046, 0.544
02370, 2.811, 5.794, 0.456, 0.949, 0.085, 0.466
02380, 2.797, 5.642, 0.298, 0.978, 0.134, 0.388
02390, 2.784, 5.498, 0.141, 0.995, 0.191, 0.313
02400, 2.767, 5.313, 6.267, 1.000, 0.257, 0.243
02410, 2.749, 5.119, 6.110, 0.993, 0.328, 0.179
02420, 2.732, 4.929, 5.953, 0.973, 0.404, 0.123
02430, 2.718, 4.773, 5.796, 0.942, 0.482, 0.076
02440, 2.708, 4.663, 5.639, 0.900, 0.560, 0.040
02450, 2.687, 4.431, 5.482, 0.848, 0.637, 0.015
02460, 2.670, 4.245, 5.325, 0.787, 0.711, 0.002
02470, 2.665, 4.190, 5.168, 0.720, 0.779, 0.001
02480, 2.662, 4.156, 5.011, 0.647, 0.840, 0.013
02490, 2.630, 3.802, 4.854, 0.570, 0.893, 0.036
02500, 2.623, 3.726, 4.697, 0.492, 0.937, 0.071
02510, 2.615, 3.637, 4.540, 0.414, 0.970, 0.116
02520, 2.600, 3.473, 4.383, 0.338, 0.991, 0.171
02530, 2.586, 3.321, 4.225, 0.266, 1.000, 0.234
02540, 2.568, 3.118, 4.068, 0.200, 0.996, 0.304
02550, 2.553, 2.954, 3.911, 0.141, 0.981, 0.378
02560, 2.536, 2.772, 3.754, 0.091, 0.954, 0.456
02570, 2.526, 2.658, 3.597, 0.051, 0.915, 0.534
02580, 2.518, 2.574, 3.440, 0.022, 0.866, 0.612
02590, 2.491, 2.274, 3.283, 0.005, 0.809, 0.687
02600, 2.487, 2.232, 3.126, 0.000, 0.743, 0.757
02610, 2.482, 2.182, 2.969, 0.007, 0.672, 0.821
02620, 2.452, 1.848, 2.812, 0.027, 0.596, 0.877
02630, 2.443, 1.747, 2.655, 0.058, 0.518, 0.924
02640, 2.433, 1.641, 2.498, 0.100, 0.440, 0.960
02650, 2.416, 1.456, 2.340, 0.152, 0.363, 0.985
02660, 2.398, 1.253, 2.183, 0.213, 0.289, 0.998
02670, 2.379, 1.042, 2.026, 0.280, 0.221, 0.999
02680, 2.365, 0.895, 1.869, 0.353, 0.160, 0.987
02690, 2.349, 0.713, 1.712, 0.430, 0.107, 0.964
02700, 2.339, 0.599, 1.555, 0.508, 0.063, 0.929
02710, 2.333, 0.536, 1.398, 0.586, 0.030, 0.884
02720, 3.093, 2.616, 1.241, 0.662, 0.009, 0.829
02730, 2.295, 0.118, 1.084, 0.734, 0.000, 0.766
02740, 2.292, 0.084, 0.927, 0.800, 0.004, 0.696
02750, 2.277, 6.203, 0.770, 0.859, 0.019, 0.622
02760, 2.257, 5.988, 0.613, 0.909, 0.046, 0.544
02770, 2.248, 5.891, 0.456, 0.949, 0.085, 0.466
02780, 2.235, 5.739, 0.298, 0.978, 0.134, 0.388
02790, 2.220, 5.574, 0.141, 0.995, 0.191, 0.313
02800, 2.204, 5.397, 6.267, 1.000, 0.257, 0.243
02810, 2.188, 5.224, 6.110, 0.993, 0.328, 0.179
02820, 2.171, 5.043, 5.953, 0.973, 0.404, 0.123
02830, 2.157, 4.886, 5.796, 0.942, 0.482, 0.076
02840, 2.148, 4.781, 5.639, 0.900, 0.560, 0.040
02850, 2.122, 4.502, 5.482, 0.848, 0.637, 0.015
02860, 2.106, 4.321, 5.325, 0.787, 0.711, 0.002
02870, 2.101, 4.270, 5.168, 0.720, 0.779, 0.001
02880, 2.099, 4.249, 5.011, 0.647, 0.840, 0.013
02890, 2.067, 3.891, 4.854, 0.570, 0.893, 0.036
02900, 2.058, 3.794, 4.697, 0.492, 0.937, 0.071
02910, 2.049, 3.701, 4.540, 0.414, 0.970, 0.116
02920, 2.032, 3.511, 4.383, 0.338, 0.991, 0.171
02930, 2.016, 3.334, 4.225, 0.266, 1.000, 0.234
02940, 1.998, 3.135, 4.068, 0.200, 0.996, 0.304
02950, 1.985, 2.996, 3.911, 0.141, 0.981, 0.378
02960, 1.967, 2.798, 3.754, 0.091, 0.954, 0.456
02970, 1.957, 2.684, 3.597, 0.051, 0.915, 0.534
02980, 1.948, 2.582, 3.440, 0.022, 0.866, 0.612
02990, 1.921, 2.291, 3.283, 0.005, 0.809, 0.687
03000, 1.918, 2.258, 3.126, 0.000, 0.743, 0.757
03010, 1.915, 2.224, 2.969, 0.007, 0.672, 0.821
03020, 1.883, 1.874, 2.812, 0.027, 0.596, 0.877
03030, 1.873, 1.760, 2.655, 0.058, 0.518, 0.924
03040, 1.862, 1.641, 2.498, 0.100, 0.440, 0.960
03050, 1.847, 1.468, 2.340, 0.152, 0.363, 0.985
03060, 1.828, 1.266, 2.183, 0.213, 0.289, 0.998
03070, 1.810, 1.072, 2.026, 0.280, 0.221, 0.999
03080, 1.794, 0.890, 1.869, 0.353, 0.160, 0.987
03090, 1.775, 0.684, 1.712, 0.430, 0.107, 0.964
03100, 1.766, 0.578, 1.555, 0.508, 0.063, 0.929
03110, 1.757, 0.481, 1.398, 0.586, 0.030, 0.884
03120, 1.729, 0.177, 1.241, 0.662, 0.009, 0.829
03130, 1.718, 0.055, 1.084, 0.734, 0.000, 0.766
03140, 1.715, 0.025, 0.927, 0.800, 0.004, 0.696
03150, 1.698, 6.114, 0.770, 0.859, 0.019, 0.622
03160, 1.680, 5.920, 0.613, 0.909, 0.046, 0.544
03170, 1.670, 5.811, 0.456, 0.949, 0.085, 0.466
03180, 1.659, 5.692, 0.298, 0.978, 0.134, 0.388
03190, 1.644, 5.519, 0.141, 0.995, 0.191, 0.313
03200, 1.626, 5.330, 6.267, 1.000, 0.257, 0.243
03210, 1.610, 5.152, 6.110, 0.993, 0.328, 0.179
03220, 1.593, 4.958, 5.953, 0.973, 0.404, 0.123
03230, 1.579, 4.806, 5.796, 0.942, 0.482, 0.076
03240, 1.568, 4.692, 5.639, 0.900, 0.560, 0.040
03250, 1.545, 4.439, 5.482, 0.848, 0.637, 0.015
03260, 1.529, 4.253, 5.325, 0.787, 0.711, 0.002
03270, 1.523, 4.190, 5.168, 0.720, 0.779, 0.001
03280, 1.521, 4.169, 5.011, 0.647, 0.840, 0.013
03290, 1.484, 3.760, 4.854, 0.570, 0.893, 0.036
03300, 1.476, 3.675, 4.697, 0.492, 0.937, 0.071
03310, 1.466, 3.570, 4.540, 0.414, 0.970, 0.116
03320, 1.448, 3.372, 4.383, 0.338, 0.991, 0.171
03330, 1.433, 3.199, 4.225, 0.266, 1.000, 0.234
03340, 1.414, 2.988, 4.068, 0.200, 0.996, 0.304
03350, 1.400, 2.840, 3.911, 0.141, 0.981, 0.378
03360, 1.384, 2.658, 3.754, 0.091, 0.954, 0.456
03370, 1.375, 2.561, 3.597, 0.051, 0.915, 0.534
03380, 1.366, 2.464, 3.440, 0.022, 0.866, 0.612
03390, 1.337, 2.144, 3.283, 0.005, 0.809, 0.687
03400, 1.335, 2.127, 3.126, 0.000, 0.743, 0.757
03410, 1.331, 2.076, 2.969, 0.007, 0.672, 0.821
03420, 1.298, 1.713, 2.812, 0.027, 0.596, 0.877
03430, 1.290, 1.629, 2.655, 0.058, 0.518, 0.924
03440, 1.281, 1.528, 2.498, 0.100, 0.440, 0.960
03450, 1.263, 1.333, 2.340, 0.152, 0.363, 0.985
03460, 1.245, 1.135, 2.183, 0.213, 0.289, 0.998
03470, 1.223, 0.890, 2.026, 0.280, 0.221, 0.999
03480, 1.207, 0.713, 1.869, 0.353, 0.160, 0.987
03490, 1.188, 0.506, 1.712, 0.430, 0.107, 0.964
03500, 1.179, 0.405, 1.555, 0.508, 0.063, 0.929
03510, 1.170, 0.308, 1.398, 0.586, 0.030, 0.884
03520, 1.141, 6.275, 1.241, 0.662, 0.009, 0.829
03530, 1.134, 6.190, 1.084, 0.734, 0.000, 0.766
03540, 1.130, 6.148, 0.927, 0.800, 0.004, 0.696
03550, 1.116, 5.992, 0.770, 0.859, 0.019, 0.622
03560, 1.094, 5.760, 0.613, 0.909, 0.046, 0.544
03570, 1.086, 5.663, 0.456, 0.949, 0.085, 0.466
03580, 1.074, 5.536, 0.298, 0.978, 0.134, 0.388
03590, 1.059, 5.368, 0.141, 0.995, 0.191, 0.313
03600, 1.042, 5.186, 6.267, 1.000, 0.257, 0.243
03610, 1.026, 5.005, 6.110, 0.993, 0.328, 0.179
03620, 1.009, 4.819, 5.953, 0.973, 0.404, 0.123
03630, 0.994, 4.659, 5.796, 0.942, 0.482, 0.076
03640, 0.985, 4.553, 5.639, 0.900, 0.560, 0.040
03650, 0.964, 4.325, 5.482, 0.848, 0.637, 0.015
03660, 0.910, 3.730, 5.325, 0.787, 0.711, 0.002
03670, 0.935, 4.005, 5.168, 0.720, 0.779, 0.001
03680, 0.933, 3.988, 5.011, 0.647, 0.840, 0.013
03690, 0.897, 3.587, 4.854, 0.570, 0.893, 0.036
03700, 0.889, 3.502, 4.697, 0.492, 0.937, 0.071
03710, 0.880, 3.397, 4.540, 0.414, 0.970, 0.116
03720, 0.864, 3.220, 4.382, 0.338, 0.991, 0.171
03730, 0.850, 3.068, 4.225, 0.266, 1.000, 0.234
03740, 0.831, 2.865, 4.068, 0.200, 0.996, 0.304
03750, 0.816, 2.701, 3.911, 0.141, 0.981, 0.378
03760, 0.800, 2.515, 3.754, 0.091, 0.954, 0.456
03770, 0.792, 2.426, 3.597, 0.051, 0.915, 0.534
03780, 0.783, 2.329, 3.440, 0.022, 0.866, 0.612
03790, 0.756, 2.038, 3.283, 0.005, 0.809, 0.687
